,Variable,Value,model
0,price,"€ 1.309,-",Apple iPhone 17 Pro 256 Go Bleu
1,Format téléphone portable,Moyen,Apple iPhone 17 Pro 256 Go Bleu
2,Qualité de la caméra,Excellent,Apple iPhone 17 Pro 256 Go Bleu
3,Catégorie de vitesse,Excellent,Apple iPhone 17 Pro 256 Go Bleu
4,Qualité écran,Excellent,Apple iPhone 17 Pro 256 Go Bleu
5,Capacité totale de stockage,256 Go,Apple iPhone 17 Pro 256 Go Bleu
6,Vitesse de chargement,Moyen,Apple iPhone 17 Pro 256 Go Bleu
7,Année d'introduction,2025,Apple iPhone 17 Pro 256 Go Bleu
8,Diagonale de l'écran,"6,3 p",Apple iPhone 17 Pro 256 Go Bleu
9,Produit,969443,Apple iPhone 17 Pro 256 Go Bleu
10,Code du fabricant,MG8J4ZD/A,Apple iPhone 17 Pro 256 Go Bleu
11,Marque,Apple,Apple iPhone 17 Pro 256 Go Bleu
12,Garantie,2 ans,Apple iPhone 17 Pro 256 Go Bleu
13,Traitement du défaut,Via Coolblue,Apple iPhone 17 Pro 256 Go Bleu
14,Type de GSM,Smartphone,Apple iPhone 17 Pro 256 Go Bleu
15,Utilisation recommandée,"Gaming, Internet, réseaux sociaux et jeux simples, Passer des appels et WhatsApp, Prendre des photos et faire des vidéos, Regarder des films et des séries, Retouche photo, Utilisation professionnelle",Apple iPhone 17 Pro 256 Go Bleu
16,Bundle comprenant,Pas d'accessoires,Apple iPhone 17 Pro 256 Go Bleu
17,Valeur et catégorie SAT,"1,2 W/kg (D)",Apple iPhone 17 Pro 256 Go Bleu
18,Année d'introduction,2025,Apple iPhone 17 Pro 256 Go Bleu
19,Mois de lancement,Septembre,Apple iPhone 17 Pro 256 Go Bleu
20,Système d'exploitation,iOS,Apple iPhone 17 Pro 256 Go Bleu
21,Version iOS à l'introduction,iOS 26,Apple iPhone 17 Pro 256 Go Bleu
22,Mise à jour vers version iOS possible,iOS 26,Apple iPhone 17 Pro 256 Go Bleu
23,Version iOs la plus récente,,Apple iPhone 17 Pro 256 Go Bleu
24,Le nombre prévu de mises à jour iOS,5,Apple iPhone 17 Pro 256 Go Bleu
25,Évaluation sur le nombre de mises à jour iOS restantes,Excellent,Apple iPhone 17 Pro 256 Go Bleu
26,Fréquence prévue des mises à jour de sécurité,Tous les trimestres,Apple iPhone 17 Pro 256 Go Bleu
27,Date prévue de la dernière mise à jour de sécurité,Septembre 2030,Apple iPhone 17 Pro 256 Go Bleu
